source,post_id,author,context,text,coin_symbol,influencer_handle,engagement_score,sentiment_compound,created_at
twitter,tw_2403_0022,MemeRiskLab,social spike watch,WIF rotation into meme basket continues.,WIF,MemeRiskLab,1494,0.378,2026-03-24T01:06:00
twitter,tw_2403_0023,MacroMeme,meme momentum,DOGE momentum still healthy despite volatility.,DOGE,MacroMeme,582,0.813,2026-03-24T01:09:00
twitter,tw_2403_0024,ShibIntel,social spike watch,WIF new wave of retail mentions.,WIF,ShibIntel,829,0.241,2026-03-24T01:12:00
twitter,tw_2403_0025,MacroMeme,social spike watch,BONK sentiment cooling after leverage spike.,BONK,MacroMeme,526,-0.066,2026-03-24T01:15:00
twitter,tw_2403_0026,FrogCycle,social spike watch,BONK watch exchange inflow risk.,BONK,FrogCycle,737,0.08,2026-03-24T01:18:00
twitter,tw_2403_0027,MemeRiskLab,(doge OR pepe OR shib OR bonk OR wif) lang:en,DOGE volume confirms trend continuation.,DOGE,MemeRiskLab,468,0.172,2026-03-24T01:21:00
twitter,tw_2403_0028,WifSignals,social spike watch,PEPE strong breakout with heavy engagement.,PEPE,WifSignals,1017,-0.665,2026-03-24T01:24:00
twitter,tw_2403_0029,DegenDesk,meme momentum,SHIB rotation into meme basket continues.,SHIB,DegenDesk,784,0.305,2026-03-24T01:27:00
twitter,tw_2403_0030,WifSignals,meme momentum,WIF strong breakout with heavy engagement.,WIF,WifSignals,833,0.223,2026-03-24T01:30:00
twitter,tw_2403_0031,DegenDesk,meme momentum,BONK rotation into meme basket continues.,BONK,DegenDesk,556,-0.015,2026-03-24T01:33:00
twitter,tw_2403_0032,MemePulse,social spike watch,BONK range chop with selective strength.,BONK,MemePulse,1204,0.125,2026-03-24T01:36:00
twitter,tw_2403_0033,ShibIntel,(doge OR pepe OR shib OR bonk OR wif) lang:en,BONK momentum still healthy despite volatility.,BONK,ShibIntel,987,0.845,2026-03-24T01:39:00
twitter,tw_2403_0034,CryptoKing,(doge OR pepe OR shib OR bonk OR wif) lang:en,DOGE watch exchange inflow risk.,DOGE,CryptoKing,835,0.208,2026-03-24T01:42:00
twitter,tw_2403_0035,MacroMeme,(doge OR pepe OR shib OR bonk OR wif) lang:en,DOGE watch exchange inflow risk.,DOGE,MacroMeme,949,-0.446,2026-03-24T01:45:00
twitter,tw_2403_0036,MemeRiskLab,social spike watch,DOGE new wave of retail mentions.,DOGE,MemeRiskLab,509,0.367,2026-03-24T01:48:00
twitter,tw_2403_0037,CryptoKing,meme momentum,WIF rotation into meme basket continues.,WIF,CryptoKing,319,-0.303,2026-03-24T01:51:00
twitter,tw_2403_0038,CryptoKing,(doge OR pepe OR shib OR bonk OR wif) lang:en,SHIB buyers defending support aggressively.,SHIB,CryptoKing,876,-0.053,2026-03-24T01:54:00
twitter,tw_2403_0039,CryptoKing,social spike watch,PEPE range chop with selective strength.,PEPE,CryptoKing,912,0.273,2026-03-24T01:57:00
twitter,tw_2403_0040,MacroMeme,(doge OR pepe OR shib OR bonk OR wif) lang:en,DOGE range chop with selective strength.,DOGE,MacroMeme,859,0.465,2026-03-24T02:00:00
twitter,tw_2403_0041,BonkRadar,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE strong breakout with heavy engagement.,PEPE,BonkRadar,371,-0.04,2026-03-24T02:03:00
twitter,tw_2403_0042,MemePulse,meme momentum,SHIB volume confirms trend continuation.,SHIB,MemePulse,1067,-0.609,2026-03-24T02:06:00
twitter,tw_2403_0043,ShibIntel,meme momentum,SHIB community activity accelerating.,SHIB,ShibIntel,1033,-0.184,2026-03-24T02:09:00
twitter,tw_2403_0044,BonkRadar,(doge OR pepe OR shib OR bonk OR wif) lang:en,BONK sentiment cooling after leverage spike.,BONK,BonkRadar,496,0.081,2026-03-24T02:12:00
twitter,tw_2403_0045,ChainAlpha,meme momentum,SHIB sentiment cooling after leverage spike.,SHIB,ChainAlpha,953,-0.121,2026-03-24T02:15:00
twitter,tw_2403_0046,MemePulse,social spike watch,SHIB watch exchange inflow risk.,SHIB,MemePulse,631,0.033,2026-03-24T02:18:00
twitter,tw_2403_0047,ShibIntel,meme momentum,PEPE volume confirms trend continuation.,PEPE,ShibIntel,1271,-0.006,2026-03-24T02:21:00
twitter,tw_2403_0048,BonkRadar,(doge OR pepe OR shib OR bonk OR wif) lang:en,SHIB momentum still healthy despite volatility.,SHIB,BonkRadar,762,-0.622,2026-03-24T02:24:00
twitter,tw_2403_0049,BonkRadar,meme momentum,BONK community activity accelerating.,BONK,BonkRadar,696,0.483,2026-03-24T02:27:00
twitter,tw_2403_0050,BonkRadar,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE community activity accelerating.,PEPE,BonkRadar,770,0.408,2026-03-24T02:30:00
twitter,tw_2403_0051,ChainAlpha,social spike watch,BONK momentum still healthy despite volatility.,BONK,ChainAlpha,913,0.061,2026-03-24T02:33:00
twitter,tw_2403_0052,WhaleScope,social spike watch,SHIB range chop with selective strength.,SHIB,WhaleScope,1045,-0.668,2026-03-24T02:36:00
twitter,tw_2403_0053,FrogCycle,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE sentiment cooling after leverage spike.,PEPE,FrogCycle,684,0.138,2026-03-24T02:39:00
twitter,tw_2403_0054,MemePulse,social spike watch,DOGE rotation into meme basket continues.,DOGE,MemePulse,1208,0.236,2026-03-24T02:42:00
twitter,tw_2403_0055,FrogCycle,meme momentum,PEPE strong breakout with heavy engagement.,PEPE,FrogCycle,868,-0.215,2026-03-24T02:45:00
twitter,tw_2403_0056,BonkRadar,meme momentum,DOGE volume confirms trend continuation.,DOGE,BonkRadar,1214,-0.146,2026-03-24T02:48:00
twitter,tw_2403_0057,MacroMeme,(doge OR pepe OR shib OR bonk OR wif) lang:en,DOGE new wave of retail mentions.,DOGE,MacroMeme,554,0.077,2026-03-24T02:51:00
twitter,tw_2403_0058,DegenDesk,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE buyers defending support aggressively.,PEPE,DegenDesk,1177,-0.054,2026-03-24T02:54:00
twitter,tw_2403_0059,AltcoinNora,meme momentum,WIF community activity accelerating.,WIF,AltcoinNora,773,0.088,2026-03-24T02:57:00
twitter,tw_2403_0060,MemePulse,meme momentum,WIF new wave of retail mentions.,WIF,MemePulse,1034,0.162,2026-03-24T03:00:00
twitter,tw_2403_0061,ShibIntel,(doge OR pepe OR shib OR bonk OR wif) lang:en,WIF new wave of retail mentions.,WIF,ShibIntel,617,0.296,2026-03-24T03:03:00
twitter,tw_2403_0062,DegenDesk,meme momentum,BONK momentum still healthy despite volatility.,BONK,DegenDesk,440,-0.068,2026-03-24T03:06:00
twitter,tw_2403_0063,MacroMeme,(doge OR pepe OR shib OR bonk OR wif) lang:en,WIF buyers defending support aggressively.,WIF,MacroMeme,924,0.474,2026-03-24T03:09:00
twitter,tw_2403_0064,MemeRiskLab,(doge OR pepe OR shib OR bonk OR wif) lang:en,SHIB community activity accelerating.,SHIB,MemeRiskLab,1431,0.373,2026-03-24T03:12:00
twitter,tw_2403_0065,WhaleScope,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE momentum still healthy despite volatility.,PEPE,WhaleScope,1172,0.636,2026-03-24T03:15:00
twitter,tw_2403_0066,MacroMeme,social spike watch,SHIB buyers defending support aggressively.,SHIB,MacroMeme,1117,0.503,2026-03-24T03:18:00
twitter,tw_2403_0067,WifSignals,meme momentum,BONK range chop with selective strength.,BONK,WifSignals,137,-0.117,2026-03-24T03:21:00
twitter,tw_2403_0068,WifSignals,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE momentum still healthy despite volatility.,PEPE,WifSignals,635,0.289,2026-03-24T03:24:00
twitter,tw_2403_0069,MemeRiskLab,meme momentum,SHIB momentum still healthy despite volatility.,SHIB,MemeRiskLab,328,0.305,2026-03-24T03:27:00
twitter,tw_2403_0070,WifSignals,(doge OR pepe OR shib OR bonk OR wif) lang:en,DOGE volume confirms trend continuation.,DOGE,WifSignals,838,-0.057,2026-03-24T03:30:00
twitter,tw_2403_0071,DegenDesk,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE rotation into meme basket continues.,PEPE,DegenDesk,920,0.178,2026-03-24T03:33:00
twitter,tw_2403_0072,BonkRadar,social spike watch,DOGE new wave of retail mentions.,DOGE,BonkRadar,611,0.174,2026-03-24T03:36:00
twitter,tw_2403_0073,ChainAlpha,meme momentum,DOGE volume confirms trend continuation.,DOGE,ChainAlpha,710,-0.157,2026-03-24T03:39:00
twitter,tw_2403_0074,BonkRadar,meme momentum,BONK rotation into meme basket continues.,BONK,BonkRadar,1056,0.26,2026-03-24T03:42:00
twitter,tw_2403_0075,ChainAlpha,social spike watch,DOGE momentum still healthy despite volatility.,DOGE,ChainAlpha,752,-0.117,2026-03-24T03:45:00
twitter,tw_2403_0076,DegenDesk,(doge OR pepe OR shib OR bonk OR wif) lang:en,DOGE rotation into meme basket continues.,DOGE,DegenDesk,691,-0.404,2026-03-24T03:48:00
twitter,tw_2403_0077,ChainAlpha,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE sentiment cooling after leverage spike.,PEPE,ChainAlpha,597,0.446,2026-03-24T03:51:00
twitter,tw_2403_0078,ChainAlpha,meme momentum,WIF watch exchange inflow risk.,WIF,ChainAlpha,1056,-0.534,2026-03-24T03:54:00
twitter,tw_2403_0079,ChainAlpha,social spike watch,WIF range chop with selective strength.,WIF,ChainAlpha,769,0.05,2026-03-24T03:57:00
twitter,tw_2403_0080,DegenDesk,meme momentum,BONK watch exchange inflow risk.,BONK,DegenDesk,609,0.126,2026-03-24T04:00:00
twitter,tw_2403_0081,AltcoinNora,social spike watch,PEPE momentum still healthy despite volatility.,PEPE,AltcoinNora,683,0.31,2026-03-24T04:03:00
twitter,tw_2403_0082,AltcoinNora,social spike watch,DOGE sentiment cooling after leverage spike.,DOGE,AltcoinNora,1432,-0.175,2026-03-24T04:06:00
twitter,tw_2403_0083,ShibIntel,meme momentum,PEPE momentum still healthy despite volatility.,PEPE,ShibIntel,472,0.316,2026-03-24T04:09:00
twitter,tw_2403_0084,WifSignals,meme momentum,DOGE community activity accelerating.,DOGE,WifSignals,630,0.266,2026-03-24T04:12:00
twitter,tw_2403_0085,WifSignals,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE community activity accelerating.,PEPE,WifSignals,749,-0.321,2026-03-24T04:15:00
twitter,tw_2403_0086,MemeRiskLab,social spike watch,SHIB new wave of retail mentions.,SHIB,MemeRiskLab,812,0.372,2026-03-24T04:18:00
twitter,tw_2403_0087,MacroMeme,social spike watch,DOGE momentum still healthy despite volatility.,DOGE,MacroMeme,923,-0.006,2026-03-24T04:21:00
twitter,tw_2403_0088,MemePulse,social spike watch,SHIB range chop with selective strength.,SHIB,MemePulse,599,-0.184,2026-03-24T04:24:00
twitter,tw_2403_0089,WhaleScope,social spike watch,SHIB rotation into meme basket continues.,SHIB,WhaleScope,334,0.738,2026-03-24T04:27:00
twitter,tw_2403_0090,CryptoKing,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE momentum still healthy despite volatility.,PEPE,CryptoKing,633,-0.104,2026-03-24T04:30:00
twitter,tw_2403_0091,BonkRadar,meme momentum,BONK range chop with selective strength.,BONK,BonkRadar,1014,0.63,2026-03-24T04:33:00
twitter,tw_2403_0092,MemePulse,meme momentum,DOGE momentum still healthy despite volatility.,DOGE,MemePulse,1393,0.618,2026-03-24T04:36:00
twitter,tw_2403_0093,AltcoinNora,meme momentum,BONK new wave of retail mentions.,BONK,AltcoinNora,898,0.104,2026-03-24T04:39:00
twitter,tw_2403_0094,DegenDesk,meme momentum,SHIB community activity accelerating.,SHIB,DegenDesk,1035,-0.731,2026-03-24T04:42:00
twitter,tw_2403_0095,CryptoKing,meme momentum,BONK range chop with selective strength.,BONK,CryptoKing,625,0.899,2026-03-24T04:45:00
twitter,tw_2403_0096,MacroMeme,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE rotation into meme basket continues.,PEPE,MacroMeme,890,-0.144,2026-03-24T04:48:00
twitter,tw_2403_0097,MemePulse,social spike watch,SHIB volume confirms trend continuation.,SHIB,MemePulse,1153,0.261,2026-03-24T04:51:00
twitter,tw_2403_0098,AltcoinNora,social spike watch,BONK sentiment cooling after leverage spike.,BONK,AltcoinNora,956,0.667,2026-03-24T04:54:00
twitter,tw_2403_0099,ChainAlpha,meme momentum,BONK range chop with selective strength.,BONK,ChainAlpha,455,0.209,2026-03-24T04:57:00
twitter,tw_2403_0100,FrogCycle,meme momentum,BONK rotation into meme basket continues.,BONK,FrogCycle,757,0.292,2026-03-24T05:00:00
twitter,tw_2403_0101,CryptoKing,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE community activity accelerating.,PEPE,CryptoKing,872,0.307,2026-03-24T05:03:00
twitter,tw_2403_0102,WifSignals,social spike watch,DOGE sentiment cooling after leverage spike.,DOGE,WifSignals,788,0.095,2026-03-24T05:06:00
twitter,tw_2403_0103,ChainAlpha,(doge OR pepe OR shib OR bonk OR wif) lang:en,DOGE volume confirms trend continuation.,DOGE,ChainAlpha,896,-0.12,2026-03-24T05:09:00
twitter,tw_2403_0104,MemePulse,meme momentum,DOGE momentum still healthy despite volatility.,DOGE,MemePulse,1115,0.1,2026-03-24T05:12:00
twitter,tw_2403_0105,MacroMeme,(doge OR pepe OR shib OR bonk OR wif) lang:en,SHIB range chop with selective strength.,SHIB,MacroMeme,1205,-0.231,2026-03-24T05:15:00
twitter,tw_2403_0106,MemePulse,meme momentum,BONK watch exchange inflow risk.,BONK,MemePulse,630,0.687,2026-03-24T05:18:00
twitter,tw_2403_0107,AltcoinNora,social spike watch,BONK range chop with selective strength.,BONK,AltcoinNora,843,0.074,2026-03-24T05:21:00
twitter,tw_2403_0108,MemePulse,social spike watch,SHIB sentiment cooling after leverage spike.,SHIB,MemePulse,781,0.544,2026-03-24T05:24:00
twitter,tw_2403_0109,MacroMeme,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE community activity accelerating.,PEPE,MacroMeme,525,0.185,2026-03-24T05:27:00
twitter,tw_2403_0110,FrogCycle,meme momentum,PEPE community activity accelerating.,PEPE,FrogCycle,1029,-0.675,2026-03-24T05:30:00
twitter,tw_2403_0111,BonkRadar,meme momentum,DOGE range chop with selective strength.,DOGE,BonkRadar,654,-0.041,2026-03-24T05:33:00
twitter,tw_2403_0112,MacroMeme,(doge OR pepe OR shib OR bonk OR wif) lang:en,BONK community activity accelerating.,BONK,MacroMeme,980,0.144,2026-03-24T05:36:00
twitter,tw_2403_0113,DegenDesk,meme momentum,SHIB rotation into meme basket continues.,SHIB,DegenDesk,683,-0.156,2026-03-24T05:39:00
twitter,tw_2403_0114,CryptoKing,social spike watch,DOGE sentiment cooling after leverage spike.,DOGE,CryptoKing,451,0.231,2026-03-24T05:42:00
twitter,tw_2403_0115,ChainAlpha,meme momentum,SHIB watch exchange inflow risk.,SHIB,ChainAlpha,791,0.011,2026-03-24T05:45:00
twitter,tw_2403_0116,FrogCycle,(doge OR pepe OR shib OR bonk OR wif) lang:en,DOGE sentiment cooling after leverage spike.,DOGE,FrogCycle,378,0.229,2026-03-24T05:48:00
twitter,tw_2403_0117,CryptoKing,meme momentum,PEPE community activity accelerating.,PEPE,CryptoKing,369,0.23,2026-03-24T05:51:00
twitter,tw_2403_0118,BonkRadar,social spike watch,PEPE range chop with selective strength.,PEPE,BonkRadar,698,0.331,2026-03-24T05:54:00
twitter,tw_2403_0119,WhaleScope,social spike watch,WIF volume confirms trend continuation.,WIF,WhaleScope,1228,0.133,2026-03-24T05:57:00
twitter,tw_2403_0120,DegenDesk,(doge OR pepe OR shib OR bonk OR wif) lang:en,SHIB sentiment cooling after leverage spike.,SHIB,DegenDesk,897,0.16,2026-03-24T06:00:00
twitter,tw_2403_0121,WhaleScope,(doge OR pepe OR shib OR bonk OR wif) lang:en,WIF range chop with selective strength.,WIF,WhaleScope,540,0.076,2026-03-24T06:03:00
twitter,tw_2403_0122,MemePulse,(doge OR pepe OR shib OR bonk OR wif) lang:en,WIF rotation into meme basket continues.,WIF,MemePulse,567,0.078,2026-03-24T06:06:00
twitter,tw_2403_0123,DegenDesk,(doge OR pepe OR shib OR bonk OR wif) lang:en,WIF rotation into meme basket continues.,WIF,DegenDesk,865,-0.181,2026-03-24T06:09:00
twitter,tw_2403_0124,ShibIntel,(doge OR pepe OR shib OR bonk OR wif) lang:en,BONK new wave of retail mentions.,BONK,ShibIntel,1035,0.087,2026-03-24T06:12:00
twitter,tw_2403_0125,CryptoKing,meme momentum,BONK momentum still healthy despite volatility.,BONK,CryptoKing,836,0.121,2026-03-24T06:15:00
twitter,tw_2403_0126,FrogCycle,meme momentum,BONK sentiment cooling after leverage spike.,BONK,FrogCycle,494,0.899,2026-03-24T06:18:00
twitter,tw_2403_0127,FrogCycle,meme momentum,WIF sentiment cooling after leverage spike.,WIF,FrogCycle,858,-0.133,2026-03-24T06:21:00
twitter,tw_2403_0128,ShibIntel,(doge OR pepe OR shib OR bonk OR wif) lang:en,WIF new wave of retail mentions.,WIF,ShibIntel,1151,-0.44,2026-03-24T06:24:00
twitter,tw_2403_0129,AltcoinNora,social spike watch,DOGE momentum still healthy despite volatility.,DOGE,AltcoinNora,993,-0.541,2026-03-24T06:27:00
twitter,tw_2403_0130,MemeRiskLab,meme momentum,WIF watch exchange inflow risk.,WIF,MemeRiskLab,855,-0.362,2026-03-24T06:30:00
twitter,tw_2403_0131,MemeRiskLab,social spike watch,SHIB strong breakout with heavy engagement.,SHIB,MemeRiskLab,584,-0.161,2026-03-24T06:33:00
twitter,tw_2403_0132,MemeRiskLab,social spike watch,BONK sentiment cooling after leverage spike.,BONK,MemeRiskLab,1043,0.95,2026-03-24T06:36:00
twitter,tw_2403_0133,FrogCycle,(doge OR pepe OR shib OR bonk OR wif) lang:en,SHIB rotation into meme basket continues.,SHIB,FrogCycle,809,-0.052,2026-03-24T06:39:00
twitter,tw_2403_0134,MemeRiskLab,meme momentum,SHIB sentiment cooling after leverage spike.,SHIB,MemeRiskLab,1333,-0.105,2026-03-24T06:42:00
twitter,tw_2403_0135,MemePulse,social spike watch,BONK momentum still healthy despite volatility.,BONK,MemePulse,750,-0.35,2026-03-24T06:45:00
twitter,tw_2403_0136,WhaleScope,(doge OR pepe OR shib OR bonk OR wif) lang:en,BONK community activity accelerating.,BONK,WhaleScope,960,-0.072,2026-03-24T06:48:00
twitter,tw_2403_0137,DegenDesk,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE buyers defending support aggressively.,PEPE,DegenDesk,774,0.261,2026-03-24T06:51:00
twitter,tw_2403_0138,ShibIntel,social spike watch,WIF watch exchange inflow risk.,WIF,ShibIntel,809,-0.092,2026-03-24T06:54:00
twitter,tw_2403_0139,DegenDesk,(doge OR pepe OR shib OR bonk OR wif) lang:en,SHIB momentum still healthy despite volatility.,SHIB,DegenDesk,523,0.317,2026-03-24T06:57:00
twitter,tw_2403_0140,CryptoKing,(doge OR pepe OR shib OR bonk OR wif) lang:en,DOGE momentum still healthy despite volatility.,DOGE,CryptoKing,963,0.661,2026-03-24T07:00:00
twitter,tw_2403_0141,AltcoinNora,meme momentum,PEPE community activity accelerating.,PEPE,AltcoinNora,1297,-0.185,2026-03-24T07:03:00
twitter,tw_2403_0142,BonkRadar,(doge OR pepe OR shib OR bonk OR wif) lang:en,SHIB rotation into meme basket continues.,SHIB,BonkRadar,614,-0.262,2026-03-24T07:06:00
twitter,tw_2403_0143,CryptoKing,social spike watch,SHIB new wave of retail mentions.,SHIB,CryptoKing,654,-0.293,2026-03-24T07:09:00
twitter,tw_2403_0144,WifSignals,social spike watch,DOGE watch exchange inflow risk.,DOGE,WifSignals,984,0.1,2026-03-24T07:12:00
twitter,tw_2403_0145,ChainAlpha,meme momentum,WIF strong breakout with heavy engagement.,WIF,ChainAlpha,530,0.334,2026-03-24T07:15:00
twitter,tw_2403_0146,ShibIntel,meme momentum,DOGE watch exchange inflow risk.,DOGE,ShibIntel,1284,0.21,2026-03-24T07:18:00
twitter,tw_2403_0147,ShibIntel,(doge OR pepe OR shib OR bonk OR wif) lang:en,WIF watch exchange inflow risk.,WIF,ShibIntel,772,0.371,2026-03-24T07:21:00
twitter,tw_2403_0148,ChainAlpha,meme momentum,SHIB watch exchange inflow risk.,SHIB,ChainAlpha,575,0.312,2026-03-24T07:24:00
twitter,tw_2403_0149,DegenDesk,social spike watch,DOGE buyers defending support aggressively.,DOGE,DegenDesk,1101,0.268,2026-03-24T07:27:00
twitter,tw_2403_0150,DegenDesk,meme momentum,BONK new wave of retail mentions.,BONK,DegenDesk,965,0.11,2026-03-24T07:30:00
twitter,tw_2403_0151,ChainAlpha,meme momentum,SHIB sentiment cooling after leverage spike.,SHIB,ChainAlpha,881,-0.322,2026-03-24T07:33:00
twitter,tw_2403_0152,WifSignals,social spike watch,SHIB volume confirms trend continuation.,SHIB,WifSignals,653,0.332,2026-03-24T07:36:00
twitter,tw_2403_0153,ChainAlpha,social spike watch,WIF community activity accelerating.,WIF,ChainAlpha,521,-0.391,2026-03-24T07:39:00
twitter,tw_2403_0154,CryptoKing,meme momentum,SHIB range chop with selective strength.,SHIB,CryptoKing,710,-0.597,2026-03-24T07:42:00
twitter,tw_2403_0155,AltcoinNora,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE momentum still healthy despite volatility.,PEPE,AltcoinNora,913,0.233,2026-03-24T07:45:00
twitter,tw_2403_0156,DegenDesk,(doge OR pepe OR shib OR bonk OR wif) lang:en,DOGE community activity accelerating.,DOGE,DegenDesk,728,-0.165,2026-03-24T07:48:00
twitter,tw_2403_0157,DegenDesk,(doge OR pepe OR shib OR bonk OR wif) lang:en,BONK buyers defending support aggressively.,BONK,DegenDesk,790,0.439,2026-03-24T07:51:00
twitter,tw_2403_0158,FrogCycle,meme momentum,WIF sentiment cooling after leverage spike.,WIF,FrogCycle,744,-0.165,2026-03-24T07:54:00
twitter,tw_2403_0159,WhaleScope,social spike watch,PEPE momentum still healthy despite volatility.,PEPE,WhaleScope,888,-0.178,2026-03-24T07:57:00
twitter,tw_2403_0160,CryptoKing,social spike watch,PEPE strong breakout with heavy engagement.,PEPE,CryptoKing,1342,0.302,2026-03-24T08:00:00
twitter,tw_2403_0161,MemeRiskLab,(doge OR pepe OR shib OR bonk OR wif) lang:en,WIF momentum still healthy despite volatility.,WIF,MemeRiskLab,571,-0.601,2026-03-24T08:03:00
twitter,tw_2403_0162,MemeRiskLab,(doge OR pepe OR shib OR bonk OR wif) lang:en,DOGE sentiment cooling after leverage spike.,DOGE,MemeRiskLab,830,-0.095,2026-03-24T08:06:00
twitter,tw_2403_0163,ChainAlpha,social spike watch,SHIB momentum still healthy despite volatility.,SHIB,ChainAlpha,608,0.285,2026-03-24T08:09:00
twitter,tw_2403_0164,MacroMeme,meme momentum,SHIB strong breakout with heavy engagement.,SHIB,MacroMeme,694,0.451,2026-03-24T08:12:00
twitter,tw_2403_0165,MemeRiskLab,(doge OR pepe OR shib OR bonk OR wif) lang:en,WIF community activity accelerating.,WIF,MemeRiskLab,1063,-0.438,2026-03-24T08:15:00
twitter,tw_2403_0166,BonkRadar,social spike watch,SHIB strong breakout with heavy engagement.,SHIB,BonkRadar,1003,0.408,2026-03-24T08:18:00
twitter,tw_2403_0167,AltcoinNora,social spike watch,BONK rotation into meme basket continues.,BONK,AltcoinNora,1383,0.006,2026-03-24T08:21:00
twitter,tw_2403_0168,WifSignals,(doge OR pepe OR shib OR bonk OR wif) lang:en,WIF watch exchange inflow risk.,WIF,WifSignals,956,-0.245,2026-03-24T08:24:00
twitter,tw_2403_0169,ShibIntel,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE sentiment cooling after leverage spike.,PEPE,ShibIntel,628,-0.074,2026-03-24T08:27:00
twitter,tw_2403_0170,WhaleScope,meme momentum,DOGE community activity accelerating.,DOGE,WhaleScope,363,0.29,2026-03-24T08:30:00
twitter,tw_2403_0171,WhaleScope,social spike watch,BONK volume confirms trend continuation.,BONK,WhaleScope,1164,0.145,2026-03-24T08:33:00
